[2026-08-24 19:44:09] [Source: MANUAL] KAZAN: 2GIS success (200 st) | GdeBenz success (140 st) | Yandex success (91 st) | SPB: 2GIS success (200 st) | GdeBenz success (199 st) | Yandex success (125 st) | MOSCOW: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (125 st)
[2026-08-24 17:26:13] [Source: SCHEDULER] KAZAN: 2GIS success (200 st) | GdeBenz success (141 st) | Yandex success (90 st) | SPB: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (126 st) | MOSCOW: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (125 st)
[2026-08-24 18:03:55] [Source: SCHEDULER] KAZAN: 2GIS success (200 st) | GdeBenz success (141 st) | Yandex success (90 st) | SPB: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (125 st) | MOSCOW: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (125 st)
[2026-08-24 19:03:50] [Source: SCHEDULER] KAZAN: 2GIS success (200 st) | GdeBenz success (142 st) | Yandex success (91 st) | SPB: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (126 st) | MOSCOW: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (125 st)
[2026-08-24 19:48:38] [Source: SCHEDULER] KAZAN: 2GIS success (200 st) | GdeBenz success (146 st) | Yandex success (90 st) | SPB: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (125 st) | MOSCOW: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (125 st)
[2026-08-24 20:22:58] [Source: SCHEDULER] KAZAN: 2GIS success (200 st) | GdeBenz success (146 st) | Yandex success (90 st) | SPB: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (126 st) | MOSCOW: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (125 st)
[2026-08-24 21:05:06] [Source: SCHEDULER] KAZAN: 2GIS success (200 st) | GdeBenz success (150 st) | Yandex success (92 st) | SPB: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (125 st) | MOSCOW: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (125 st)
[2026-08-24 21:47:26] [Source: SCHEDULER] KAZAN: 2GIS success (200 st) | GdeBenz success (150 st) | Yandex success (90 st) | SPB: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (125 st) | MOSCOW: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (125 st)
[2026-08-24 22:19:50] [Source: SCHEDULER] KAZAN: 2GIS success (200 st) | GdeBenz success (149 st) | Yandex success (90 st) | SPB: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (125 st) | MOSCOW: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (125 st)
[2026-08-24 22:49:12] [Source: SCHEDULER] KAZAN: 2GIS success (200 st) | GdeBenz success (147 st) | Yandex success (90 st) | SPB: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (126 st) | MOSCOW: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (125 st)
[2026-08-24 23:18:00] [Source: SCHEDULER] KAZAN: 2GIS success (200 st) | GdeBenz success (147 st) | Yandex success (91 st) | SPB: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (126 st) | MOSCOW: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (125 st)
[2026-08-24 23:41:14] [Source: SCHEDULER] KAZAN: 2GIS success (200 st) | GdeBenz success (147 st) | Yandex success (90 st) | SPB: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (126 st) | MOSCOW: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (125 st)
[2026-08-24 23:58:11] [Source: SCHEDULER] KAZAN: 2GIS success (200 st) | GdeBenz success (147 st) | Yandex success (90 st) | SPB: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (127 st) | MOSCOW: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (126 st)
[2026-08-25 00:54:33] [Source: SCHEDULER] KAZAN: 2GIS success (200 st) | GdeBenz success (147 st) | Yandex success (93 st) | SPB: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (125 st) | MOSCOW: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (124 st)
[2026-08-25 02:16:29] [Source: SCHEDULER] KAZAN: 2GIS success (200 st) | GdeBenz success (145 st) | Yandex success (90 st) | SPB: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (126 st) | MOSCOW: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (125 st)
[2026-08-25 03:15:41] [Source: SCHEDULER] KAZAN: 2GIS success (200 st) | GdeBenz success (144 st) | Yandex success (90 st) | SPB: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (125 st) | MOSCOW: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (125 st)
[2026-08-25 04:03:50] [Source: SCHEDULER] KAZAN: 2GIS success (200 st) | GdeBenz success (138 st) | Yandex success (90 st) | SPB: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (125 st) | MOSCOW: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (124 st)
[2026-08-25 04:58:08] [Source: SCHEDULER] KAZAN: 2GIS success (200 st) | GdeBenz success (135 st) | Yandex success (90 st) | SPB: 2GIS success (200 st) | GdeBenz success (199 st) | Yandex success (126 st) | MOSCOW: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (125 st)
[2026-08-25 05:28:02] [Source: SCHEDULER] KAZAN: 2GIS success (200 st) | GdeBenz success (133 st) | Yandex success (90 st) | SPB: 2GIS success (200 st) | GdeBenz success (199 st) | Yandex success (126 st) | MOSCOW: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (124 st)
[2026-08-25 06:03:43] [Source: SCHEDULER] KAZAN: 2GIS success (200 st) | GdeBenz success (136 st) | Yandex success (90 st) | SPB: 2GIS success (200 st) | GdeBenz success (199 st) | Yandex success (125 st) | MOSCOW: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (125 st)
[2026-08-25 07:12:25] [Source: SCHEDULER] KAZAN: 2GIS success (200 st) | GdeBenz success (131 st) | Yandex success (90 st) | SPB: 2GIS success (200 st) | GdeBenz success (199 st) | Yandex success (126 st) | MOSCOW: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (124 st)
[2026-08-25 08:02:57] [Source: SCHEDULER] KAZAN: 2GIS success (200 st) | GdeBenz success (132 st) | Yandex success (90 st) | SPB: 2GIS success (200 st) | GdeBenz success (199 st) | Yandex success (126 st) | MOSCOW: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (124 st)
[2026-08-25 09:04:31] [Source: SCHEDULER] KAZAN: 2GIS success (200 st) | GdeBenz success (132 st) | Yandex success (90 st) | SPB: 2GIS success (200 st) | GdeBenz success (199 st) | Yandex success (126 st) | MOSCOW: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (125 st)
[2026-08-25 09:55:24] [Source: SCHEDULER] KAZAN: 2GIS success (200 st) | GdeBenz success (132 st) | Yandex success (93 st) | SPB: 2GIS success (200 st) | GdeBenz success (199 st) | Yandex success (126 st) | MOSCOW: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (124 st)
[2026-08-25 10:25:35] [Source: SCHEDULER] KAZAN: 2GIS success (200 st) | GdeBenz success (132 st) | Yandex success (90 st) | SPB: 2GIS success (200 st) | GdeBenz success (199 st) | Yandex success (126 st) | MOSCOW: 2GIS success (200 st) | GdeBenz success (200 st) | Yandex success (124 st)
